Packet,1_2_Id,2_0_1_7_Id,Status
CSEnteredInstantGameWorldPacket,0x0e4,0x09b,RENUMBERED
CSEquipmentsSecurePacket,0x04c,0x172,RENUMBERED
CSEquipmentsUnsecurePacket,0x04d,0x0fb,RENUMBERED
CSExecuteCraft,0x0f8,,REMOVED_IN_2_0
CSExecuteCraftPacket,,0x05a,NEW_IN_2_0
CSExitBeautySalonPacket,0x12c,,REMOVED_IN_2_0
CSExpandExpertPacket,0x101,0x127,RENUMBERED
CSExpandSlotsPacket,0x041,0x180,RENUMBERED
CSExpressEmotionPacket,0x0ad,0x06a,RENUMBERED
CSFactionCancelProtectionPacket_,,0x107,NEW_IN_2_0
CSFactionDeclareHostilePacket,0x019,0x0e2,RENUMBERED
CSFactionGetDeclarationMoneyPacket_,,0x005,NEW_IN_2_0
CSFactionGetExpeditionWarHistoryPacket_,,0x037,NEW_IN_2_0
CSFactionImmigrateToOriginPacket,0x017,0x0c2,RENUMBERED
CSFactionImmigrationInvitePacket,0x015,0x17f,RENUMBERED
CSFactionImmigrationInviteReplyPacket,0x016,0x0c1,RENUMBERED
CSFactionKickToOriginPacket,0x018,0x11c,RENUMBERED
CSFamilyChangeOwnerPacket,0x01f,0x17a,RENUMBERED
CSFamilyChangeTitlePacket,0x01e,0x02b,RENUMBERED
CSFamilyInviteMemberPacket,0x01a,0x088,RENUMBERED
CSFamilyKickPacket,0x01d,0x154,RENUMBERED
CSFamilyLeavePacket,0x01c,0x10b,RENUMBERED
CSFamilyReplyInvitationPacket,0x01b,0x0b4,RENUMBERED
CSHangPacket,0x0cb,0x0a5,RENUMBERED
CSHeroAbstainPacket,,0x084,NEW_IN_2_0
CSHeroCandidatePacketList,,0x0a0,NEW_IN_2_0
CSHeroRankingListPacket,,0x11f,NEW_IN_2_0
CSHeroVotingPacket,,0x11b,NEW_IN_2_0
CSHgResponse_05_Packet,,0x12a,NEW_IN_2_0
CSHgResponsePacket,,0x12a,NEW_IN_2_0
CSHSResponsePacket,,0x069,NEW_IN_2_0
CSICSBuyAAPointPacket,,0x007,NEW_IN_2_0
CSICSBuyGoodPacket,0x11d,0x092,RENUMBERED
CSICSGoodsListPacket,0x11c,0x122,RENUMBERED
CSICSMenuListPacket,0x11b,0x052,RENUMBERED
CSICSMoneyRequestPacket,0x11e,0x02e,RENUMBERED
CSIdleStatusPacket,0x132,0x131,RENUMBERED
CSInstanceLoadedPacket,0x0e0,0x0d6,RENUMBERED
CSInteractGimmickPacket,,0x030,NEW_IN_2_0
CSInteractNPCEndPacket,0x066,0x136,RENUMBERED
CSInteractNPCPacket,0x065,0x0bc,RENUMBERED
CSInviteAreaToTeamPacket,0x07b,0x102,RENUMBERED
CSInviteToExpeditionPacket,0x00c,0x00b,RENUMBERED
CSInviteToTeamPacket,0x07a,0x15d,RENUMBERED
CSItemSecurePacket,0x04a,0x071,RENUMBERED
CSItemUccPacket,,0x0b8,NEW_IN_2_0
CSItemUnsecurePacket,0x04b,0x072,RENUMBERED
CSJoinInstantGamePacket,0x0e3,0x145,RENUMBERED
CSJoinTrialAudiencePacket,0x077,0x0d9,RENUMBERED
CSJoinUserChatChannelPacket,0x061,0x008,RENUMBERED
CSJuryEndTestimonyPacket,0x073,0x003,RENUMBERED
CSJurySummonedPacket,0x072,0x11a,RENUMBERED
CSJuryVerdictPacket,0x075,0x167,RENUMBERED
CSKickFromExpeditionPacket,0x00f,0x038,RENUMBERED
CSKickTeamMemberPacket,0x07e,0x0eb,RENUMBERED
CSLearnBuffPacket,0x093,0x028,RENUMBERED
CSLearnSkillPacket,0x092,0x09a,RENUMBERED
CSLeaveChatChannelPacket,0x062,0x01d,RENUMBERED
CSLeaveExpeditionPacket,0x00e,0x07e,RENUMBERED
CSLeaveInstantGamePacket,0x0e5,0x11e,RENUMBERED
CSLeaveTeamPacket,0x07d,0x010,RENUMBERED
CSLeaveTrialAudiencePacket,0x078,0x051,RENUMBERED
CSLeaveWorldPacket,0x001,0x132,RENUMBERED
CSListCharacterPacket,0x020,0xfff,RENUMBERED
CSListMailContinuePacket,0x09b,0xfff,RENUMBERED
CSListMailPacket,0x09a,0xfff,RENUMBERED
CSListSoldItemPacket,0x0b1,0x0cc,RENUMBERED
CSListSpecialtyGoodsPacket,0x044,0x05b,RENUMBERED
CSLootCloseBagPacket,0x090,0x14c,RENUMBERED
CSLootDicePacket,0x091,0x0a6,RENUMBERED
CSLootItemPacket,0x08f,0x153,RENUMBERED
CSLootOpenBagPacket,0x08e,0x116,RENUMBERED
CSMakeTeamOwnerPacket,0x07f,0x100,RENUMBERED
CSMountMatePacket,0x0a7,0x161,RENUMBERED
CSMoveTeamMemberPacket,0x081,0x118,RENUMBERED
CSMoveUnitPacket,0x089,0x12f,RENUMBERED
CSNaviOpenBountyPacket,0x0ea,0x050,RENUMBERED
CSNaviOpenPortalPacket,0x0e8,0x176,RENUMBERED
CSNaviTeleportPacket,0x0e7,0x15f,RENUMBERED
CSNotifyInGameCompletedPacket,0x02a,0x05e,RENUMBERED
CSNotifyInGamePacket,0x029,0x0c7,RENUMBERED
CSNotifySubZonePacket,0x112,0x020,RENUMBERED
CSPauseUserMusicPacket,,0x135,NEW_IN_2_0
CSPayChargeMoneyPacket,0x0a0,0x098,RENUMBERED
CSPremiumServiceBuyPacket,0x135,0x040,RENUMBERED
CSPremiumServiceListPacket,0x136,0x06c,RENUMBERED
CSPremiumServiceMsgPacket,0x13c,,REMOVED_IN_2_0
CSPremiumServieceMsgPacket,,0x139,NEW_IN_2_0
CSProtectSensitiveOperationPacket_,,0x047,NEW_IN_2_0
CSPutupTradeItemPacket,0x0f0,0x112,RENUMBERED
CSPutupTradeMoneyPacket,0x0f1,0x058,RENUMBERED
CSQuestStartWithPacket,0x0db,0x0d2,RENUMBERED
CSQuestTalkMadePacket,0x0da,0x053,RENUMBERED
CSQuestUnkPacket,,0x0dc,NEW_IN_2_0
CSRankCharacterPacket,0x12F,0x105,RENUMBERED
CSRankSnapshotPacket,,0x0d7,NEW_IN_2_0
CSReadMailPacket,0x09c,0x094,RENUMBERED
CSRefreshInCharacterListPacket,0x021,0x018,RENUMBERED
CSRemoveBuffPacket,0x055,0x0bf,RENUMBERED
CSRemoveCommonFarmsPacket,,0x089,NEW_IN_2_0
CSRemoveMatePacket,0x0a4,0xfff,RENUMBERED
CSRenameExpeditionPacket,0x009,0x178,RENUMBERED
CSRepairAllEquipmentsPacket,0x03d,0x070,RENUMBERED
CSRepairPetItemsPacket,0x0b5,0x179,RENUMBERED
CSRepairSingleEquipmentPacket,0x03c,0x142,RENUMBERED
CSRepairSlaveItemsPacket,0x035,0xfff,RENUMBERED
CSRepairSlaveItemsPackeе,,0x039,NEW_IN_2_0
CSReplyExpeditionInvitationPacket,0x00d,0xfff,RENUMBERED
CSReplyImprisonOrTrialPacket,0x06f,0x056,RENUMBERED
CSReplyInviteJuryPacket,0x071,0x011,RENUMBERED
CSReplyToJoinTeamPacket,0x07c,0x157,RENUMBERED
CSReportCrimePacket,0x076,0x0fe,RENUMBERED
CSReportSpamPacket,0x0a3,0xfff,RENUMBERED
CSRequestCharBriefPacket,0x02d,0x031,RENUMBERED
CSRequestCommonFarmList,0x10b,,REMOVED_IN_2_0
CSRequestHouseTaxPacket,0x05c,0x001,RENUMBERED
CSRequestJuryWaitingNumberPacket,0x079,0x165,RENUMBERED
CSRequestMusicNotesPacket,0x123,0x138,RENUMBERED
CSRequestPermissionToPlayCinemaForDirectingMode,0xd0,,REMOVED_IN_2_0
CSRequestSecondPasswordKeyTablesPacket,0x125,0x0e6,RENUMBERED
CSRequestSetBountyMoneyPacket,,0x120,NEW_IN_2_0
CSRequestSpecialtyCurrentPacket,0x131,,REMOVED_IN_2_0
CSRequestTencentFatigueInfoPacke,,0x087,NEW_IN_2_0
CSRequestUIDataPacket,0x117,0x01e,RENUMBERED
CSResetDemoCharPacket,,0x14f,NEW_IN_2_0
CSResetQuestContextPacket,0xfff,0xfff,SAME
CSResetSkillsPacket,0x094,0x0cb,RENUMBERED
CSRestartMainQuestPacket,0x0fd,0x014,RENUMBERED
CSRestrictCheckPacket,0x11a,0x0d0,RENUMBERED
CSResturnAddrs_05_Packet,,0x0fe,NEW_IN_2_0
CSResturnAddrsPacket,0x115,0x0fe,RENUMBERED
CSResurrectCharacterPacket,0x04e,0x062,RENUMBERED
CSReturnMailPacket,0xfff,0xfff,SAME
CSRollDicePacket,0x0bd,0x13e,RENUMBERED
CSSaveDoodadUccStringPacket,0xfff,0xfff,SAME
CSSaveTutorialPacket,0x0f5,0x12e,RENUMBERED
CSSaveUIDataPacket,0x118,0x174,RENUMBERED
CSSaveUserMusicNotesPacket,0x122,0x17b,RENUMBERED
CSSearchListPacket,0xfff,0xfff,SAME
CSSecurityReportPacket_,,0x004,NEW_IN_2_0
CSSelectCharacterPacket,0x025,0x0a4,RENUMBERED
CSSelectInteractionExPacket,0x06b,0x115,RENUMBERED
CSSellBackpackGoodsPacket,0x042,0x173,RENUMBERED
CSSellHouseCancelPacket,0x05f,0x13b,RENUMBERED
CSSellHousePacket,0x05e,0x140,RENUMBERED
CSSellItemsPacket,0x0b0,0x0f3,RENUMBERED
CSSendChatMessagePacket,0x063,0x114,RENUMBERED
CSSendMailPacket,0x098,0x073,RENUMBERED
CSSendUserMusicPacket,0x121,0x12d,RENUMBERED
CSSetCraftingPayPacket,0xfff,0xfff,SAME
CSSetForceAttackPacket,0x04f,0x074,RENUMBERED
CSSetLogicD,,0x059,NEW_IN_2_0
CSSetLogicDoodadPacket,0x0f6,0xfff,RENUMBERED
CSSetLpManageCharacterPacket,0x0fe,0x148,RENUMBERED
CSSetOverHeadMarkerPacket,0x086,0x0ff,RENUMBERED
CSSetPingPosPacket,0x087,0x086,RENUMBERED
CSSetTeamMemberRolePacket,0x085,0x09d,RENUMBERED
CSSetTeamOfficerPacket,0xfff,0xfff,SAME
CSSetupSecondPassword,0x140,,REMOVED_IN_2_0
CSSetupSecondPasswordPacket,,0xfff,NEW_IN_2_0
CSSkillControllerStatePacket,0x08a,0x0dd,RENUMBERED
CSSkipFinalStatementPacket,0x070,0x0ca,RENUMBERED
CSSpawnCharacterPacket,0x026,0x04b,RENUMBERED
CSSpawnSlavePacket,0x02e,0x164,RENUMBERED
CSSpecialtyRatioPacket,0x043,0xfff,RENUMBERED
CSSpecialtyRatioPackeе,,0x026,NEW_IN_2_0
CSSpecialtyRecordLoadPacket,0xfff,0xfff,SAME
CSSplitBagItemPacket,0x039,0x01f,RENUMBERED
